source_id,raw_latitude,raw_longitude,reason
10494,,,invalid_or_unknown_coordinate_system
10525,,,invalid_or_unknown_coordinate_system
10527,,,invalid_or_unknown_coordinate_system
10528,,,invalid_or_unknown_coordinate_system
10529,,,invalid_or_unknown_coordinate_system
10531,,,invalid_or_unknown_coordinate_system
10532,,,invalid_or_unknown_coordinate_system
10533,,,invalid_or_unknown_coordinate_system
10534,,,invalid_or_unknown_coordinate_system
10535,,,invalid_or_unknown_coordinate_system
10537,,,invalid_or_unknown_coordinate_system
10538,,,invalid_or_unknown_coordinate_system
10540,,,invalid_or_unknown_coordinate_system
10541,,,invalid_or_unknown_coordinate_system
10542,,,invalid_or_unknown_coordinate_system
10543,,,invalid_or_unknown_coordinate_system
10544,,,invalid_or_unknown_coordinate_system
10545,,,invalid_or_unknown_coordinate_system
10546,,,invalid_or_unknown_coordinate_system
10622,,,invalid_or_unknown_coordinate_system
10623,,,invalid_or_unknown_coordinate_system
10624,,,invalid_or_unknown_coordinate_system
10626,,,invalid_or_unknown_coordinate_system
10627,,,invalid_or_unknown_coordinate_system
10628,,,invalid_or_unknown_coordinate_system
10629,,,invalid_or_unknown_coordinate_system
10630,,,invalid_or_unknown_coordinate_system
10631,,,invalid_or_unknown_coordinate_system
10633,,,invalid_or_unknown_coordinate_system
10634,,,invalid_or_unknown_coordinate_system
10637,,,invalid_or_unknown_coordinate_system
10638,,,invalid_or_unknown_coordinate_system
10639,,,invalid_or_unknown_coordinate_system
10640,,,invalid_or_unknown_coordinate_system
10641,,,invalid_or_unknown_coordinate_system
10642,,,invalid_or_unknown_coordinate_system
10643,,,invalid_or_unknown_coordinate_system
10644,,,invalid_or_unknown_coordinate_system
10645,,,invalid_or_unknown_coordinate_system
10646,,,invalid_or_unknown_coordinate_system
10647,,,invalid_or_unknown_coordinate_system
10648,,,invalid_or_unknown_coordinate_system
10649,,,invalid_or_unknown_coordinate_system
10650,,,invalid_or_unknown_coordinate_system
10651,,,invalid_or_unknown_coordinate_system
10652,,,invalid_or_unknown_coordinate_system
10653,,,invalid_or_unknown_coordinate_system
10654,,,invalid_or_unknown_coordinate_system
10655,,,invalid_or_unknown_coordinate_system
10656,,,invalid_or_unknown_coordinate_system
10657,,,invalid_or_unknown_coordinate_system
10658,,,invalid_or_unknown_coordinate_system
10659,,,invalid_or_unknown_coordinate_system
10660,,,invalid_or_unknown_coordinate_system
10661,,,invalid_or_unknown_coordinate_system
10662,,,invalid_or_unknown_coordinate_system
10663,,,invalid_or_unknown_coordinate_system
10665,,,invalid_or_unknown_coordinate_system
10666,,,invalid_or_unknown_coordinate_system
10667,,,invalid_or_unknown_coordinate_system
10668,,,invalid_or_unknown_coordinate_system
10669,,,invalid_or_unknown_coordinate_system
10670,,,invalid_or_unknown_coordinate_system
10671,,,invalid_or_unknown_coordinate_system
10672,,,invalid_or_unknown_coordinate_system
10673,,,invalid_or_unknown_coordinate_system
10675,,,invalid_or_unknown_coordinate_system
10676,,,invalid_or_unknown_coordinate_system
10677,,,invalid_or_unknown_coordinate_system
10679,,,invalid_or_unknown_coordinate_system
10680,,,invalid_or_unknown_coordinate_system
10681,,,invalid_or_unknown_coordinate_system
10683,,,invalid_or_unknown_coordinate_system
10684,,,invalid_or_unknown_coordinate_system
10685,,,invalid_or_unknown_coordinate_system
10686,,,invalid_or_unknown_coordinate_system
10690,,,invalid_or_unknown_coordinate_system
10691,,,invalid_or_unknown_coordinate_system
10692,,,invalid_or_unknown_coordinate_system
10693,,,invalid_or_unknown_coordinate_system
10694,,,invalid_or_unknown_coordinate_system
10695,,,invalid_or_unknown_coordinate_system
10696,,,invalid_or_unknown_coordinate_system
10698,,,invalid_or_unknown_coordinate_system
10699,,,invalid_or_unknown_coordinate_system
10701,,,invalid_or_unknown_coordinate_system
10702,,,invalid_or_unknown_coordinate_system
10703,,,invalid_or_unknown_coordinate_system
10705,,,invalid_or_unknown_coordinate_system
10706,,,invalid_or_unknown_coordinate_system
10707,,,invalid_or_unknown_coordinate_system
10708,,,invalid_or_unknown_coordinate_system
10709,,,invalid_or_unknown_coordinate_system
10710,,,invalid_or_unknown_coordinate_system
10711,,,invalid_or_unknown_coordinate_system
10712,,,invalid_or_unknown_coordinate_system
10713,,,invalid_or_unknown_coordinate_system
10714,,,invalid_or_unknown_coordinate_system
10715,,,invalid_or_unknown_coordinate_system
10716,,,invalid_or_unknown_coordinate_system
10717,,,invalid_or_unknown_coordinate_system
10718,,,invalid_or_unknown_coordinate_system
10720,,,invalid_or_unknown_coordinate_system
10721,,,invalid_or_unknown_coordinate_system
10722,,,invalid_or_unknown_coordinate_system
10723,,,invalid_or_unknown_coordinate_system
10724,,,invalid_or_unknown_coordinate_system
10725,,,invalid_or_unknown_coordinate_system
10727,,,invalid_or_unknown_coordinate_system
10728,,,invalid_or_unknown_coordinate_system
10729,,,invalid_or_unknown_coordinate_system
10730,,,invalid_or_unknown_coordinate_system
10731,,,invalid_or_unknown_coordinate_system
10732,,,invalid_or_unknown_coordinate_system
10733,,,invalid_or_unknown_coordinate_system
